Year,Ethnicity,Sex,Cause of Death,Count
2007,ASIAN & PACIFIC ISLANDER,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,32
2007,ASIAN & PACIFIC ISLANDER,FEMALE,ALZHEIMERS DISEASE,7
2007,ASIAN & PACIFIC ISLANDER,FEMALE,AORTIC ANEURYSM AND DISSECTION,9
2007,ASIAN & PACIFIC ISLANDER,FEMALE,ASSAULT (HOMICIDE),6
2007,ASIAN & PACIFIC ISLANDER,FEMALE,ATHEROSCLEROSIS,5
2007,ASIAN & PACIFIC ISLANDER,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,6
2007,ASIAN & PACIFIC ISLANDER,FEMALE,CEREBROVASCULAR DISEASE,70
2007,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,6
2007,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,29
2007,ASIAN & PACIFIC ISLANDER,FEMALE,DIABETES MELLITUS,34
2007,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,428
2007,ASIAN & PACIFIC ISLANDER,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,22
2007,ASIAN & PACIFIC ISLANDER,FEMALE,INFLUENZA AND PNEUMONIA,58
2007,ASIAN & PACIFIC ISLANDER,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),22
2007,ASIAN & PACIFIC ISLANDER,FEMALE,MALIGNANT NEOPLASMS,396
2007,ASIAN & PACIFIC ISLANDER,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",13
2007,ASIAN & PACIFIC ISLANDER,FEMALE,PARKINSONS DISEASE,5
2007,ASIAN & PACIFIC ISLANDER,FEMALE,PEPTIC ULCER,6
2007,ASIAN & PACIFIC ISLANDER,FEMALE,VIRAL HEPATITIS,7
2007,ASIAN & PACIFIC ISLANDER,MALE,ACCIDENTS EXCEPT DRUG POISONING,54
2007,ASIAN & PACIFIC ISLANDER,MALE,AORTIC ANEURYSM AND DISSECTION,5
2007,ASIAN & PACIFIC ISLANDER,MALE,BENIGN AND UNCERTAIN NEOPLASMS,9
2007,ASIAN & PACIFIC ISLANDER,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,5
2007,ASIAN & PACIFIC ISLANDER,MALE,CEREBROVASCULAR DISEASE,56
2007,ASIAN & PACIFIC ISLANDER,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,18
2007,ASIAN & PACIFIC ISLANDER,MALE,CHRONIC LOWER RESPIRATORY DISEASES,43
2007,ASIAN & PACIFIC ISLANDER,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",12
2007,ASIAN & PACIFIC ISLANDER,MALE,DIABETES MELLITUS,47
2007,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,497
2007,ASIAN & PACIFIC ISLANDER,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,25
2007,ASIAN & PACIFIC ISLANDER,MALE,INFLUENZA AND PNEUMONIA,68
2007,ASIAN & PACIFIC ISLANDER,MALE,INTENTIONAL SELF-HARM (SUICIDE),38
2007,ASIAN & PACIFIC ISLANDER,MALE,MALIGNANT NEOPLASMS,528
2007,ASIAN & PACIFIC ISLANDER,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,11
2007,ASIAN & PACIFIC ISLANDER,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",14
2007,ASIAN & PACIFIC ISLANDER,MALE,PEPTIC ULCER,5
2007,ASIAN & PACIFIC ISLANDER,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,7
2007,ASIAN & PACIFIC ISLANDER,MALE,SEPTICEMIA,10
2007,ASIAN & PACIFIC ISLANDER,MALE,VIRAL HEPATITIS,12
2007,HISPANIC,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,72
2007,HISPANIC,FEMALE,ALZHEIMERS DISEASE,43
2007,HISPANIC,FEMALE,AORTIC ANEURYSM AND DISSECTION,19
2007,HISPANIC,FEMALE,ASSAULT (HOMICIDE),22
2007,HISPANIC,FEMALE,ATHEROSCLEROSIS,12
2007,HISPANIC,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,12
2007,HISPANIC,FEMALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,8
2007,HISPANIC,FEMALE,CEREBROVASCULAR DISEASE,164
2007,HISPANIC,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,9
2007,HISPANIC,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,37
2007,HISPANIC,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,116
2007,HISPANIC,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",28
2007,HISPANIC,FEMALE,DIABETES MELLITUS,205
2007,HISPANIC,FEMALE,DISEASES OF HEART,1418
2007,HISPANIC,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,78
2007,HISPANIC,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,109
2007,HISPANIC,FEMALE,INFLUENZA AND PNEUMONIA,190
2007,HISPANIC,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),25
2007,HISPANIC,FEMALE,MALIGNANT NEOPLASMS,969
2007,HISPANIC,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",45
2007,HISPANIC,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",8
2007,HISPANIC,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,48
2007,HISPANIC,FEMALE,SEPTICEMIA,49
2007,HISPANIC,FEMALE,SHORT GESTATION/LBW,13
2007,HISPANIC,FEMALE,VIRAL HEPATITIS,37
2007,HISPANIC,MALE,ACCIDENTS EXCEPT DRUG POISONING,154
2007,HISPANIC,MALE,ALZHEIMERS DISEASE,11
2007,HISPANIC,MALE,AORTIC ANEURYSM AND DISSECTION,21
2007,HISPANIC,MALE,ASSAULT (HOMICIDE),114
2007,HISPANIC,MALE,ATHEROSCLEROSIS,11
2007,HISPANIC,MALE,BENIGN AND UNCERTAIN NEOPLASMS,20
2007,HISPANIC,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,11
2007,HISPANIC,MALE,CEREBROVASCULAR DISEASE,126
2007,HISPANIC,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,107
2007,HISPANIC,MALE,CHRONIC LOWER RESPIRATORY DISEASES,106
2007,HISPANIC,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",29
2007,HISPANIC,MALE,DIABETES MELLITUS,177
2007,HISPANIC,MALE,DISEASES OF HEART,1327
